,CustomerID,E,YearFreq,logQta,logSpent,logAvgPrice,logAvgBasksValue,KMeans_label
0,13313.0,4.066997572199975,0.4166666666666667,2.929929560084588,3.191819756666117,0.26189019658152923,2.4928497523300983,2
2500,13248.0,3.902174814211729,0.16666666666666666,2.484299839346786,2.668087586276824,0.18378774693003821,2.367057590612843,2
2484,13917.0,3.5724312513221204,0.16666666666666666,2.357934847000454,2.4346327661741425,0.07669791917368854,2.1336027705101612,2
2485,13062.0,3.121928094887363,0.08333333333333333,2.534026106056135,2.521111920597796,-0.012914185458338941,2.521111920597796,2
2487,15192.0,4.46132014021101,0.16666666666666666,2.858537197569639,2.862918123299103,0.004380925729464014,2.5618881276351217,2
2488,16484.0,3.813660689688186,0.16666666666666666,2.285557309007774,2.5615783683009608,0.27602105929318704,2.2605483726369795,2
2489,15184.0,4.945658810177507,0.16666666666666666,2.298853076409707,2.6044420662607233,0.30558898985101646,2.303412070596742,2
2490,18135.0,4.021928094887363,0.4166666666666667,2.5428254269591797,2.833727059286069,0.290901632326889,2.13475705495005,2
2495,16529.0,4.148394345536403,0.08333333333333333,2.296665190261531,2.6582499544669576,0.3615847642054265,2.6582499544669576,2
2497,16239.0,3.2680488287579594,0.16666666666666666,2.3384564936046046,2.571592383361307,0.23313588975670232,2.2705623876973258,2
2499,16117.0,4.6150610122030695,0.08333333333333333,2.113943352306837,2.3658809184658813,0.25193756615904467,2.3658809184658813,2
2501,16967.0,2.4508459973898566,0.08333333333333333,2.5224442335063197,2.5038179106978222,-0.018626322808497773,2.5038179106978222,2
2523,18248.0,4.303186119492954,0.16666666666666666,2.699837725867246,2.8937728550064863,0.19393512913924052,2.592742859342505,2
2502,15405.0,3.0,0.08333333333333333,2.285557309007774,2.5429498488141786,0.2573925398064051,2.5429498488141786,2
2506,13131.0,3.9509815989344603,0.25,2.6464037262230695,3.0167409272862598,0.37033720106319007,2.539619672566597,2
2507,14891.0,3.3728408024272363,0.16666666666666666,2.7032913781186614,2.7438075541320446,0.040516176013383226,2.4427775584680633,2
2508,16682.0,4.440223928941852,0.4166666666666667,3.0170333392987803,3.0119931146592567,-0.0050402246395235065,2.313023110323238,2
2511,14621.0,4.72176223903305,0.3333333333333333,2.932980821923198,3.1643707031361474,0.2313898812129494,2.5623107118081854,2
2517,15349.0,4.868962655144859,0.16666666666666666,2.506505032404872,2.6664337342303583,0.15992870182548613,2.365403738566377,2
2519,12802.0,3.8634651896016474,0.08333333333333333,2.4771212547196626,2.5827222628249187,0.10560100810525622,2.5827222628249187,2
2520,15073.0,3.736993222254179,0.25,2.4424797690644486,2.7870564565450704,0.34457668748062176,2.309935201825408,2
2521,16298.0,3.2999166682692365,0.25,2.296665190261531,2.7768464086952993,0.4801812184337681,2.2997251539756367,2
2483,14597.0,4.953213053667203,0.16666666666666666,2.7528164311882715,2.9376382340904126,0.18482180290214104,2.6366082384264313,2
2482,16969.0,4.18036511421588,0.25,2.9111576087399764,2.8030540454150263,-0.10810356332495029,2.3259327906953637,2
2480,15124.0,2.6062389286533896,0.16666666666666666,2.367355921026019,2.2652660478873776,-0.10208987313864137,1.9642360522233964,2
2477,15163.0,4.789015477886192,0.16666666666666666,2.2695129442179165,2.4835445072273052,0.21403156300938903,2.182514511563324,2
2440,14985.0,4.222174311224064,0.08333333333333333,2.2329961103921536,2.2361340168154307,0.0031379064232766886,2.2361340168154307,2
2441,14522.0,3.7345216647797512,0.3333333333333333,2.720159303405957,2.9887996694390266,0.2686403660330695,2.386739678111064,2
2443,14584.0,5.26419055603142,0.3333333333333333,2.576341350205793,3.0086257177448017,0.432284367539009,2.4065657264168396,2
2445,12942.0,4.949150928009266,0.16666666666666666,2.110589710299249,2.619979805833053,0.509390095533804,2.3189498101690718,2
2446,12987.0,4.256564762130954,0.16666666666666666,2.3364597338485296,2.7363965022766426,0.39993676842811293,2.4353665066126613,2
2449,16624.0,5.053508854797679,0.16666666666666666,2.6884198220027105,2.9087905260334077,0.2203707040306971,2.6077605303694265,2
