CustomerID	monetary	recency	T	frequency	R	F	M	RFMScore
12747.0	5.7623657987550985	2.0794415416798357	5.831882477283517	5.985119459548142	1	3	4	8
12748.0	5.814428994743265	4.584967478670572	5.8289456176102075	5.6368396141627235	1	2	4	7
12749.0	5.74652262833236	1.0986122886681098	5.817111159963204	6.595347815625004	2	4	4	10
12820.0	5.642261618007951	1.0986122886681098	5.7899601708972535	5.550605394800715	2	2	4	8
12822.0	2.8390784635086144	0.0	4.477336814478207	5.553269614376899	4	2	1	7
12823.0	5.403127730900382	1.3862943611198906	5.6937321388027	5.89571051881749	2	3	3	8
12826.0	5.5801071132949795	1.6094379124341003	5.783825182329737	5.40042258948519	2	2	3	7
12827.0	5.283711214158674	0.6931471805599453	5.488937726156687	5.0717303934560665	3	1	2	6
12828.0	5.407620101438487	1.6094379124341003	5.817111159963204	5.065388595749027	2	1	3	6
12830.0	5.347583607850955	1.3862943611198906	5.71042701737487	7.380056267276556	2	4	3	9
12832.0	5.024538199265247	0.0	5.717027701406222	4.747797584237847	4	1	2	7
12836.0	5.743323649276734	1.0986122886681098	5.834810737062605	6.376709940951288	2	4	4	10
12839.0	5.620763118936109	2.3978952727983707	5.662960480135946	6.014717098918132	1	3	3	7
12840.0	5.08821342874163	1.0986122886681098	5.424950017481403	6.436684413775978	2	4	2	8
12841.0	5.814428994743265	3.044522437723423	5.82600010738045	5.078620250399904	1	1	4	6
12842.0	5.199049364889368	0.0	5.529429087511423	6.695007503850047	4	4	2	10
12843.0	5.366443195595637	1.9459101490553132	5.634789603169249	5.359822273069085	1	2	3	6
12844.0	5.620763118936109	0.0	5.817111159963204	5.018471179864031	4	1	3	8
12845.0	3.139832617527748	1.0986122886681098	5.673323267171493	4.5688519233139795	2	1	1	4
12849.0	4.997887721273753	0.0	5.594711379601839	5.833464802459093	4	3	2	9
12853.0	5.199049364889368	0.6931471805599453	5.755742213586912	6.639810472213388	3	4	2	9
12854.0	5.74652262833236	0.6931471805599453	5.765191102784844	6.1383208302500725	3	4	4	11
12856.0	5.642261618007951	1.6094379124341003	5.707110264748875	5.9703328369723705	2	3	4	9
12857.0	4.956531035103055	0.0	5.351858133476067	6.686734473048906	4	4	2	10
12867.0	5.6061696457892	1.6094379124341003	5.700443573390687	6.468595839106073	2	4	3	9
12868.0	5.730424405602622	1.3862943611198906	5.75890177387728	5.721712434572168	2	2	4	8
12871.0	4.812997033190408	0.0	5.337538079701318	5.516408174225595	4	2	2	8
12877.0	5.752890048763229	2.302585092994046	5.8289456176102075	4.86723440544658	1	1	4	6
12878.0	3.40452517175483	0.0	5.58724865840025	6.291402459001221	4	4	1	9
12879.0	3.8522730010223722	0.6931471805599453	4.5217885770490405	5.377405772867	3	2	1	6
12882.0	5.1480757032174935	0.0	5.204006687076795	6.899017213038852	4	4	2	10
12883.0	1.8082887711792655	0.0	3.4339872044851463	6.020877707676331	4	3	1	8
12885.0	3.370738174177447	0.0	5.030437921392435	6.469947747952718	4	4	1	9
12886.0	3.261935314328648	0.0	5.616771097666572	6.652992053287465	4	4	1	9
12888.0	5.075798620002669	0.0	5.545177444479562	4.400112102220266	4	1	2	7
12891.0	4.91338990965742	0.6931471805599453	5.680172609017068	4.973971309724664	3	1	2	6
12895.0	3.7864597824528	0.0	4.465908118654584	4.6549122778829055	4	1	1	6
